2018/06/02 15:47:32:24310,95200,10.6
2018/06/02 15:47:32:24330,95220,10.4
2018/06/02 15:47:32:24350,95240,10.3
2018/06/02 15:47:32:24370,95260,10
2018/06/02 15:47:32:24390,95280,9.8
2018/06/02 15:47:32:24410,95300,9.5
2018/06/02 15:47:32:24430,95320,9.3
2018/06/02 15:47:32:24450,95340,9.1
2018/06/02 15:47:32:24470,95360,8.9
2018/06/02 15:47:32:24490,95380,8.7
2018/06/02 15:47:32:24510,95400,8.5
2018/06/02 15:47:32:24530,95420,8.3
2018/06/02 15:47:32:24550,95440,8.1
2018/06/02 15:47:32:24570,95460,8
2018/06/02 15:47:32:24590,95480,7.8
2018/06/02 15:47:32:24610,95500,7.7
2018/06/02 15:47:32:24630,95520,7.6
2018/06/02 15:47:32:24650,95540,7.5
2018/06/02 15:47:32:24670,95560,7.4
2018/06/02 15:47:32:24690,95580,7.4
2018/06/02 15:47:32:24710,95600,7.5
2018/06/02 15:47:32:24730,95620,7.5
2018/06/02 15:47:32:24750,95640,7.5
2018/06/02 15:47:32:24770,95660,7.5
2018/06/02 15:47:32:24790,95680,7.5
2018/06/02 15:47:32:24810,95700,7.5
2018/06/02 15:47:32:24830,95720,7.6
2018/06/02 15:47:32:24850,95740,8
2018/06/02 15:47:32:24870,95760,8.5
2018/06/02 15:47:32:24890,95780,9.2
2018/06/02 15:47:32:24910,95800,9.9
2018/06/02 15:47:32:24930,95820,10.8
2018/06/02 15:47:32:24950,95840,11.6
2018/06/02 15:47:32:24970,95860,12.5
2018/06/02 15:47:32:24990,95880,13.3
2018/06/02 15:47:32:25010,95900,14
2018/06/02 15:47:32:25030,95920,14.7
2018/06/02 15:47:32:25050,95940,15.1
2018/06/02 15:47:32:25070,95960,15.4
2018/06/02 15:47:32:25090,95980,15.5
2018/06/02 15:47:32:25110,96000,15.4
2018/06/02 15:47:32:25130,96020,15.2
2018/06/02 15:47:32:25150,96040,14.7
2018/06/02 15:47:32:25170,96060,14.2
2018/06/02 15:47:32:25190,96080,13.5
2018/06/02 15:47:32:25210,96100,12.8
2018/06/02 15:47:32:25230,96120,12.2
2018/06/02 15:47:32:25250,96140,11.5
2018/06/02 15:47:32:25270,96160,11
2018/06/02 15:47:32:25290,96180,10.6
2018/06/02 15:47:32:25310,96200,10.4
2018/06/02 15:47:32:25330,96220,10.3
2018/06/02 15:47:32:25350,96240,10.1
2018/06/02 15:47:32:25370,96260,9.8
2018/06/02 15:47:32:25390,96280,9.6
2018/06/02 15:47:32:25410,96300,9.5
2018/06/02 15:47:32:25430,96320,9.3
2018/06/02 15:47:32:25450,96340,9.2
2018/06/02 15:47:32:25470,96360,9.1
2018/06/02 15:47:32:25490,96380,9
2018/06/02 15:47:32:25510,96400,8.9
2018/06/02 15:47:32:25530,96420,8.9
2018/06/02 15:47:32:25550,96440,8.8
2018/06/02 15:47:32:25570,96460,8.8
2018/06/02 15:47:32:25590,96480,8.7
2018/06/02 15:47:32:25610,96500,8.6
2018/06/02 15:47:32:25630,96520,8.5
2018/06/02 15:47:32:25650,96540,8.4
2018/06/02 15:47:32:25670,96560,8.3
2018/06/02 15:47:32:25690,96580,8.2
2018/06/02 15:47:32:25710,96600,8.1
2018/06/02 15:47:32:25730,96620,8
2018/06/02 15:47:32:25750,96640,7.9
2018/06/02 15:47:32:25770,96660,7.7
2018/06/02 15:47:32:25790,96680,7.6
2018/06/02 15:47:32:25810,96700,7.4
2018/06/02 15:47:32:25830,96720,7.3
2018/06/02 15:47:32:25850,96740,7.5
2018/06/02 15:47:32:25870,96760,7.8
2018/06/02 15:47:32:25890,96780,8.3
2018/06/02 15:47:32:25910,96800,8.9
2018/06/02 15:47:32:25930,96820,9.7
2018/06/02 15:47:32:25950,96840,10.5
2018/06/02 15:47:32:25970,96860,11.3
2018/06/02 15:47:32:25990,96880,12.2
2018/06/02 15:47:32:26010,96900,13
2018/06/02 15:47:32:26030,96920,13.7
2018/06/02 15:47:32:26050,96940,14.2
2018/06/02 15:47:32:26070,96960,14.6
2018/06/02 15:47:32:26090,96980,14.9
2018/06/02 15:47:32:26110,97000,15
2018/06/02 15:47:32:26130,97020,14.9
2018/06/02 15:47:32:26150,97040,14.7
2018/06/02 15:47:32:26170,97060,14.3
2018/06/02 15:47:32:26190,97080,13.9
2018/06/02 15:47:32:26210,97100,13.4
2018/06/02 15:47:32:26230,97120,12.8
2018/06/02 15:47:32:26250,97140,12.2
2018/06/02 15:47:32:26270,97160,11.7
2018/06/02 15:47:32:26290,97180,11.3
2018/06/02 15:47:32:26310,97200,11
2018/06/02 15:47:32:26330,97220,10.8
2018/06/02 15:47:32:26350,97240,10.5
2018/06/02 15:47:32:26370,97260,10.3
2018/06/02 15:47:32:26390,97280,10
2018/06/02 15:47:32:26410,97300,9.7
2018/06/02 15:47:32:26430,97320,9.6
2018/06/02 15:47:32:26450,97340,9.5
2018/06/02 15:47:32:26470,97360,9.5
2018/06/02 15:47:32:26490,97380,9.5
2018/06/02 15:47:32:26510,97400,9.6
2018/06/02 15:47:32:26530,97420,9.7
2018/06/02 15:47:32:26550,97440,9.8
2018/06/02 15:47:32:26570,97460,9.9
2018/06/02 15:47:32:26590,97480,10
2018/06/02 15:47:32:26610,97500,10.1
2018/06/02 15:47:32:26630,97520,10
2018/06/02 15:47:32:26650,97540,10
2018/06/02 15:47:32:26670,97560,9.9
2018/06/02 15:47:32:26690,97580,9.7
2018/06/02 15:47:32:26710,97600,9.5
2018/06/02 15:47:32:26730,97620,9.3
2018/06/02 15:47:32:26750,97640,9
2018/06/02 15:47:32:26770,97660,8.7
2018/06/02 15:47:32:26790,97680,8.4
2018/06/02 15:47:32:26810,97700,8
2018/06/02 15:47:32:26830,97720,7.8
2018/06/02 15:47:32:26850,97740,7.8
2018/06/02 15:47:32:26870,97760,8
2018/06/02 15:47:32:26890,97780,8.4
2018/06/02 15:47:32:26910,97800,9
2018/06/02 15:47:32:26930,97820,9.7
2018/06/02 15:47:32:26950,97840,10.4
2018/06/02 15:47:32:26970,97860,11.2
2018/06/02 15:47:32:26990,97880,12
2018/06/02 15:47:32:27010,97900,12.7
2018/06/02 15:47:32:27030,97920,13.4
2018/06/02 15:47:32:27050,97940,14
2018/06/02 15:47:32:27070,97960,14.4
2018/06/02 15:47:32:27090,97980,14.7
