Name:,
Gender:,Male
Age:,
Disease:,
Datetime:,20191027_133645
2019/10/27 13:36:48:880,3160,0
2019/10/27 13:36:48:900,3180,0
2019/10/27 13:36:48:920,3200,0
2019/10/27 13:36:48:940,3220,0
2019/10/27 13:36:48:960,3240,0
2019/10/27 13:36:48:980,3260,0
2019/10/27 13:36:49:000,3280,0
2019/10/27 13:36:49:020,3300,0
2019/10/27 13:36:49:040,3320,0
2019/10/27 13:36:49:060,3340,0
2019/10/27 13:36:49:080,3360,0
2019/10/27 13:36:49:100,3380,0
2019/10/27 13:36:49:120,3400,0
2019/10/27 13:36:49:140,3420,0
2019/10/27 13:36:49:160,3440,0
2019/10/27 13:36:49:180,3460,0
2019/10/27 13:36:49:200,3480,0
2019/10/27 13:36:49:220,3500,0
2019/10/27 13:36:49:240,3520,0
2019/10/27 13:36:49:260,3540,0
2019/10/27 13:36:49:280,3560,0
2019/10/27 13:36:49:300,3580,0
2019/10/27 13:36:49:320,3600,0
2019/10/27 13:36:49:340,3620,0
2019/10/27 13:36:49:360,3640,0
2019/10/27 13:36:49:380,3660,0
2019/10/27 13:36:49:400,3680,0
2019/10/27 13:36:49:420,3700,0
2019/10/27 13:36:49:440,3720,0
2019/10/27 13:36:49:460,3740,0
2019/10/27 13:36:49:480,3760,0
2019/10/27 13:36:49:500,3780,0
2019/10/27 13:36:49:520,3800,0
2019/10/27 13:36:49:540,3820,0
2019/10/27 13:36:49:560,3840,0
2019/10/27 13:36:49:580,3860,0
2019/10/27 13:36:49:600,3880,0
2019/10/27 13:36:49:620,3900,0
2019/10/27 13:36:49:640,3920,0
2019/10/27 13:36:49:660,3940,0
2019/10/27 13:36:49:680,3960,0
2019/10/27 13:36:49:700,3980,0
2019/10/27 13:36:49:720,4000,0
2019/10/27 13:36:49:740,4020,0
2019/10/27 13:36:49:760,4040,0
2019/10/27 13:36:49:780,4060,0
2019/10/27 13:36:49:800,4080,0
2019/10/27 13:36:49:820,4100,0
2019/10/27 13:36:49:840,4120,0
2019/10/27 13:36:49:860,4140,0
2019/10/27 13:36:49:880,4160,0
2019/10/27 13:36:49:900,4180,0
2019/10/27 13:36:49:920,4200,0
2019/10/27 13:36:49:940,4220,0
2019/10/27 13:36:49:960,4240,0
2019/10/27 13:36:49:980,4260,0
2019/10/27 13:36:50:000,4280,0
2019/10/27 13:36:50:020,4300,0
2019/10/27 13:36:50:040,4320,0
2019/10/27 13:36:50:060,4340,0
2019/10/27 13:36:50:080,4360,0
2019/10/27 13:36:50:100,4380,0
2019/10/27 13:36:50:120,4400,0
2019/10/27 13:36:50:140,4420,0
2019/10/27 13:36:50:160,4440,0
2019/10/27 13:36:50:180,4460,0
2019/10/27 13:36:50:200,4480,0
2019/10/27 13:36:50:220,4500,0
2019/10/27 13:36:50:240,4520,0
2019/10/27 13:36:50:260,4540,0
2019/10/27 13:36:50:280,4560,0
2019/10/27 13:36:50:300,4580,0
2019/10/27 13:36:50:320,4600,0
2019/10/27 13:36:50:340,4620,0
2019/10/27 13:36:50:360,4640,0
2019/10/27 13:36:50:380,4660,0
2019/10/27 13:36:50:400,4680,0
2019/10/27 13:36:50:420,4700,0
2019/10/27 13:36:50:440,4720,0
2019/10/27 13:36:50:460,4740,0
2019/10/27 13:36:50:480,4760,0
2019/10/27 13:36:50:500,4780,0
2019/10/27 13:36:50:520,4800,0
2019/10/27 13:36:50:540,4820,0
2019/10/27 13:36:50:560,4840,0
2019/10/27 13:36:50:580,4860,0
2019/10/27 13:36:50:600,4880,0
2019/10/27 13:36:50:620,4900,0
2019/10/27 13:36:50:640,4920,0
2019/10/27 13:36:50:660,4940,0
2019/10/27 13:36:50:680,4960,0
2019/10/27 13:36:50:700,4980,0
2019/10/27 13:36:50:720,5000,0
2019/10/27 13:36:50:740,5020,0
2019/10/27 13:36:50:760,5040,0
2019/10/27 13:36:50:780,5060,0
2019/10/27 13:36:50:800,5080,0
2019/10/27 13:36:50:820,5100,0
2019/10/27 13:36:50:840,5120,0
2019/10/27 13:36:50:860,5140,0
2019/10/27 13:36:50:880,5160,0
2019/10/27 13:36:50:900,5180,0
2019/10/27 13:36:50:920,5200,0
2019/10/27 13:36:50:940,5220,0
2019/10/27 13:36:50:960,5240,0
2019/10/27 13:36:50:980,5260,0
2019/10/27 13:36:51:000,5280,0
2019/10/27 13:36:51:020,5300,0
2019/10/27 13:36:51:040,5320,0
2019/10/27 13:36:51:060,5340,0
2019/10/27 13:36:51:080,5360,0
2019/10/27 13:36:51:100,5380,0
2019/10/27 13:36:51:120,5400,0
2019/10/27 13:36:51:140,5420,0
2019/10/27 13:36:51:160,5440,0
2019/10/27 13:36:51:180,5460,0
2019/10/27 13:36:51:200,5480,0
2019/10/27 13:36:51:220,5500,0
2019/10/27 13:36:51:240,5520,0
2019/10/27 13:36:51:260,5540,0
2019/10/27 13:36:51:280,5560,0
2019/10/27 13:36:51:300,5580,0
2019/10/27 13:36:51:320,5600,0
2019/10/27 13:36:51:340,5620,0
2019/10/27 13:36:51:360,5640,0
2019/10/27 13:36:51:380,5660,0
2019/10/27 13:36:51:400,5680,0
2019/10/27 13:36:51:420,5700,0
2019/10/27 13:36:51:440,5720,0
2019/10/27 13:36:51:460,5740,0
2019/10/27 13:36:51:480,5760,0
2019/10/27 13:36:51:500,5780,0
2019/10/27 13:36:51:520,5800,0
2019/10/27 13:36:51:540,5820,0
2019/10/27 13:36:51:560,5840,0
2019/10/27 13:36:51:580,5860,0
2019/10/27 13:36:51:600,5880,0
2019/10/27 13:36:51:620,5900,0
2019/10/27 13:36:51:640,5920,0
2019/10/27 13:36:51:660,5940,0
2019/10/27 13:36:51:680,5960,0
2019/10/27 13:36:51:700,5980,0
2019/10/27 13:36:51:720,6000,0
2019/10/27 13:36:51:740,6020,0
2019/10/27 13:36:51:760,6040,0
2019/10/27 13:36:51:780,6060,0
2019/10/27 13:36:51:800,6080,0
2019/10/27 13:36:51:820,6100,0
2019/10/27 13:36:51:840,6120,0
2019/10/27 13:36:51:860,6140,0
2019/10/27 13:36:51:880,6160,0
2019/10/27 13:36:51:900,6180,0
2019/10/27 13:36:51:920,6200,0
2019/10/27 13:36:51:940,6220,0
2019/10/27 13:36:51:960,6240,0
2019/10/27 13:36:51:980,6260,0
2019/10/27 13:36:52:000,6280,0
2019/10/27 13:36:52:020,6300,0
2019/10/27 13:36:52:040,6320,0
2019/10/27 13:36:52:060,6340,0
2019/10/27 13:36:52:080,6360,0
2019/10/27 13:36:52:100,6380,0
2019/10/27 13:36:52:120,6400,1.46
2019/10/27 13:36:52:140,6420,4.29
2019/10/27 13:36:52:160,6440,8.46
2019/10/27 13:36:52:180,6460,14.07
2019/10/27 13:36:52:200,6480,21.11
2019/10/27 13:36:52:220,6500,29.5
2019/10/27 13:36:52:240,6520,39.03
2019/10/27 13:36:52:260,6540,49.46
2019/10/27 13:36:52:280,6560,60.45
2019/10/27 13:36:52:300,6580,71.65
2019/10/27 13:36:52:320,6600,82.8
2019/10/27 13:36:52:340,6620,93.32
2019/10/27 13:36:52:360,6640,100
2019/10/27 13:36:52:380,6660,100
2019/10/27 13:36:52:400,6680,100
2019/10/27 13:36:52:420,6700,100
2019/10/27 13:36:52:440,6720,100
2019/10/27 13:36:52:460,6740,100
2019/10/27 13:36:52:480,6760,100
2019/10/27 13:36:52:500,6780,100
2019/10/27 13:36:52:520,6800,100
2019/10/27 13:36:52:540,6820,100
2019/10/27 13:36:52:560,6840,100
2019/10/27 13:36:52:580,6860,98.92
2019/10/27 13:36:52:600,6880,95.28
2019/10/27 13:36:52:620,6900,92.42
2019/10/27 13:36:52:640,6920,90.51
2019/10/27 13:36:52:660,6940,89.67
2019/10/27 13:36:52:680,6960,89.94
2019/10/27 13:36:52:700,6980,91.3
2019/10/27 13:36:52:720,7000,93.66
2019/10/27 13:36:52:740,7020,96.88
2019/10/27 13:36:52:760,7040,100
2019/10/27 13:36:52:780,7060,100
2019/10/27 13:36:52:800,7080,100
2019/10/27 13:36:52:820,7100,100
2019/10/27 13:36:52:840,7120,100
2019/10/27 13:36:52:860,7140,100
2019/10/27 13:36:52:880,7160,100
2019/10/27 13:36:52:900,7180,100
2019/10/27 13:36:52:920,7200,100
2019/10/27 13:36:52:940,7220,100
2019/10/27 13:36:52:960,7240,100
2019/10/27 13:36:52:980,7260,100
2019/10/27 13:36:53:000,7280,100
2019/10/27 13:36:53:020,7300,100
2019/10/27 13:36:53:040,7320,100
2019/10/27 13:36:53:060,7340,100
2019/10/27 13:36:53:080,7360,100
2019/10/27 13:36:53:100,7380,100
2019/10/27 13:36:53:120,7400,100
2019/10/27 13:36:53:140,7420,100
2019/10/27 13:36:53:160,7440,100
2019/10/27 13:36:53:180,7460,100
