Name:,
Gender:,Female
Age:,
Disease:,
Datetime:,20191027_132618
2019/10/27 13:26:18:861,0,73.97
2019/10/27 13:26:18:881,20,74.02
2019/10/27 13:26:18:901,40,74.17
2019/10/27 13:26:18:921,60,74.64
2019/10/27 13:26:18:941,80,75.43
2019/10/27 13:26:18:961,100,76.48
2019/10/27 13:26:18:981,120,77.7
2019/10/27 13:26:19:001,140,79.31
2019/10/27 13:26:19:021,160,81.01
2019/10/27 13:26:19:041,180,82.91
2019/10/27 13:26:19:061,200,84.91
2019/10/27 13:26:19:081,220,86.74
2019/10/27 13:26:19:101,240,88.49
2019/10/27 13:26:19:121,260,90.09
2019/10/27 13:26:19:141,280,91.36
2019/10/27 13:26:19:161,300,92.38
2019/10/27 13:26:19:181,320,93.16
2019/10/27 13:26:19:201,340,93.55
2019/10/27 13:26:19:221,360,93.4
2019/10/27 13:26:19:241,380,93.18
2019/10/27 13:26:19:261,400,92.73
2019/10/27 13:26:19:281,420,92.17
2019/10/27 13:26:19:301,440,91.7
2019/10/27 13:26:19:321,460,91.19
2019/10/27 13:26:19:341,480,90.75
2019/10/27 13:26:19:361,500,90.33
2019/10/27 13:26:19:381,520,90.02
2019/10/27 13:26:19:401,540,89.92
2019/10/27 13:26:19:421,560,89.81
2019/10/27 13:26:19:441,580,89.6
2019/10/27 13:26:19:461,600,89.28
2019/10/27 13:26:19:481,620,88.93
2019/10/27 13:26:19:501,640,88.47
2019/10/27 13:26:19:521,660,88.06
2019/10/27 13:26:19:541,680,87.6
2019/10/27 13:26:19:561,700,87
2019/10/27 13:26:19:581,720,86.34
2019/10/27 13:26:19:601,740,85.68
2019/10/27 13:26:19:621,760,85.05
2019/10/27 13:26:19:641,780,84.43
2019/10/27 13:26:19:661,800,84.07
2019/10/27 13:26:19:681,820,83.73
2019/10/27 13:26:19:701,840,83.6
2019/10/27 13:26:19:721,860,84.06
2019/10/27 13:26:19:741,880,84.56
2019/10/27 13:26:19:761,900,85.15
2019/10/27 13:26:19:781,920,85.72
2019/10/27 13:26:19:801,940,86.33
2019/10/27 13:26:19:821,960,86.89
2019/10/27 13:26:19:841,980,87.52
2019/10/27 13:26:19:861,1000,88.07
2019/10/27 13:26:19:881,1020,88.52
2019/10/27 13:26:19:901,1040,88.75
2019/10/27 13:26:19:921,1060,88.94
2019/10/27 13:26:19:941,1080,89.18
2019/10/27 13:26:19:961,1100,89.58
2019/10/27 13:26:19:981,1120,90.05
2019/10/27 13:26:20:001,1140,90.46
2019/10/27 13:26:20:021,1160,90.95
2019/10/27 13:26:20:041,1180,91.43
2019/10/27 13:26:20:061,1200,91.9
2019/10/27 13:26:20:081,1220,92.53
2019/10/27 13:26:20:101,1240,93.15
2019/10/27 13:26:20:121,1260,93.83
2019/10/27 13:26:20:141,1280,94.54
2019/10/27 13:26:20:161,1300,95.18
2019/10/27 13:26:20:181,1320,95.8
2019/10/27 13:26:20:201,1340,96.33
2019/10/27 13:26:20:221,1360,96.6
2019/10/27 13:26:20:241,1380,96.85
2019/10/27 13:26:20:261,1400,96.91
2019/10/27 13:26:20:281,1420,96.94
2019/10/27 13:26:20:301,1440,96.87
2019/10/27 13:26:20:321,1460,96.72
2019/10/27 13:26:20:341,1480,96.43
2019/10/27 13:26:20:361,1500,96.21
2019/10/27 13:26:20:381,1520,95.84
2019/10/27 13:26:20:401,1540,95.5
2019/10/27 13:26:20:421,1560,95.02
2019/10/27 13:26:20:441,1580,94.34
2019/10/27 13:26:20:461,1600,93.68
2019/10/27 13:26:20:481,1620,92.92
2019/10/27 13:26:20:501,1640,92.12
2019/10/27 13:26:20:521,1660,91.27
2019/10/27 13:26:20:541,1680,90.59
2019/10/27 13:26:20:561,1700,89.98
2019/10/27 13:26:20:581,1720,89.46
2019/10/27 13:26:20:601,1740,89.14
2019/10/27 13:26:20:621,1760,88.73
2019/10/27 13:26:20:641,1780,88.53
2019/10/27 13:26:20:661,1800,88.26
2019/10/27 13:26:20:681,1820,87.97
2019/10/27 13:26:20:701,1840,87.75
2019/10/27 13:26:20:721,1860,87.5
2019/10/27 13:26:20:741,1880,87.16
2019/10/27 13:26:20:761,1900,86.83
2019/10/27 13:26:20:781,1920,86.44
2019/10/27 13:26:20:801,1940,86.14
2019/10/27 13:26:20:821,1960,85.98
2019/10/27 13:26:20:841,1980,85.78
2019/10/27 13:26:20:861,2000,85.52
2019/10/27 13:26:20:881,2020,85.49
2019/10/27 13:26:20:901,2040,85.45
2019/10/27 13:26:20:921,2060,85.52
2019/10/27 13:26:20:941,2080,86.07
2019/10/27 13:26:20:961,2100,86.47
2019/10/27 13:26:20:981,2120,87.04
2019/10/27 13:26:21:001,2140,87.82
2019/10/27 13:26:21:021,2160,88.76
2019/10/27 13:26:21:041,2180,89.58
2019/10/27 13:26:21:061,2200,90.33
2019/10/27 13:26:21:081,2220,90.98
2019/10/27 13:26:21:101,2240,91.45
2019/10/27 13:26:21:121,2260,91.96
2019/10/27 13:26:21:141,2280,92.3
2019/10/27 13:26:21:161,2300,92.51
2019/10/27 13:26:21:181,2320,92.62
2019/10/27 13:26:21:201,2340,92.61
2019/10/27 13:26:21:221,2360,92.65
2019/10/27 13:26:21:241,2380,92.67
2019/10/27 13:26:21:261,2400,92.59
2019/10/27 13:26:21:281,2420,92.66
2019/10/27 13:26:21:301,2440,92.73
2019/10/27 13:26:21:321,2460,92.74
2019/10/27 13:26:21:341,2480,92.73
2019/10/27 13:26:21:361,2500,92.88
2019/10/27 13:26:21:381,2520,92.9
2019/10/27 13:26:21:401,2540,92.87
2019/10/27 13:26:21:421,2560,92.83
2019/10/27 13:26:21:441,2580,92.49
2019/10/27 13:26:21:461,2600,92.39
2019/10/27 13:26:21:481,2620,92.05
2019/10/27 13:26:21:501,2640,91.65
2019/10/27 13:26:21:521,2660,91.11
2019/10/27 13:26:21:541,2680,90.4
2019/10/27 13:26:21:561,2700,89.65
2019/10/27 13:26:21:581,2720,88.96
2019/10/27 13:26:21:601,2740,88.37
2019/10/27 13:26:21:621,2760,87.78
2019/10/27 13:26:21:641,2780,87.15
2019/10/27 13:26:21:661,2800,86.54
2019/10/27 13:26:21:681,2820,86.13
2019/10/27 13:26:21:701,2840,85.78
2019/10/27 13:26:21:721,2860,85.43
2019/10/27 13:26:21:741,2880,85.01
2019/10/27 13:26:21:761,2900,84.81
2019/10/27 13:26:21:781,2920,84.63
2019/10/27 13:26:21:801,2940,84.53
2019/10/27 13:26:21:821,2960,84.55
2019/10/27 13:26:21:841,2980,84.81
2019/10/27 13:26:21:861,3000,85.17
2019/10/27 13:26:21:881,3020,85.66
2019/10/27 13:26:21:901,3040,86.36
