Name:,
Gender:,Female
Age:,
Disease:,
Datetime:,20191027_132311
2019/10/27 13:23:14:395,2920,9.02
2019/10/27 13:23:14:415,2940,9.61
2019/10/27 13:23:14:435,2960,10.14
2019/10/27 13:23:14:455,2980,10.74
2019/10/27 13:23:14:475,3000,11.32
2019/10/27 13:23:14:495,3020,12.28
2019/10/27 13:23:14:515,3040,13.8
2019/10/27 13:23:14:535,3060,15.59
2019/10/27 13:23:14:555,3080,17.63
2019/10/27 13:23:14:575,3100,20.02
2019/10/27 13:23:14:595,3120,22.39
2019/10/27 13:23:14:615,3140,25.2
2019/10/27 13:23:14:635,3160,28.17
2019/10/27 13:23:14:655,3180,31.23
2019/10/27 13:23:14:675,3200,34.07
2019/10/27 13:23:14:695,3220,36.57
2019/10/27 13:23:14:715,3240,38.54
2019/10/27 13:23:14:735,3260,39.94
2019/10/27 13:23:14:755,3280,40.7
2019/10/27 13:23:14:775,3300,40.56
2019/10/27 13:23:14:795,3320,39.94
2019/10/27 13:23:14:815,3340,38.82
2019/10/27 13:23:14:835,3360,37.33
2019/10/27 13:23:14:855,3380,35.51
2019/10/27 13:23:14:875,3400,33.43
2019/10/27 13:23:14:895,3420,31.32
2019/10/27 13:23:14:915,3440,29.34
2019/10/27 13:23:14:935,3460,27.61
2019/10/27 13:23:14:955,3480,26.13
2019/10/27 13:23:14:975,3500,25.12
2019/10/27 13:23:14:995,3520,24.2
2019/10/27 13:23:15:015,3540,23.14
2019/10/27 13:23:15:035,3560,22.26
2019/10/27 13:23:15:055,3580,21.51
2019/10/27 13:23:15:075,3600,20.69
2019/10/27 13:23:15:095,3620,20.17
2019/10/27 13:23:15:115,3640,19.43
2019/10/27 13:23:15:135,3660,18.55
2019/10/27 13:23:15:155,3680,17.44
2019/10/27 13:23:15:175,3700,16.28
2019/10/27 13:23:15:195,3720,15.12
2019/10/27 13:23:15:215,3740,14.08
2019/10/27 13:23:15:235,3760,13.09
2019/10/27 13:23:15:255,3780,12.27
2019/10/27 13:23:15:275,3800,11.79
2019/10/27 13:23:15:295,3820,11.39
2019/10/27 13:23:15:315,3840,11.04
2019/10/27 13:23:15:335,3860,10.71
2019/10/27 13:23:15:355,3880,10.37
2019/10/27 13:23:15:375,3900,10.09
2019/10/27 13:23:15:395,3920,9.82
2019/10/27 13:23:15:415,3940,9.54
2019/10/27 13:23:15:435,3960,9.33
2019/10/27 13:23:15:455,3980,9.22
2019/10/27 13:23:15:475,4000,9.16
2019/10/27 13:23:15:495,4020,9.19
2019/10/27 13:23:15:515,4040,9.28
2019/10/27 13:23:15:535,4060,9.3
2019/10/27 13:23:15:555,4080,9.24
2019/10/27 13:23:15:575,4100,9.13
2019/10/27 13:23:15:595,4120,8.98
2019/10/27 13:23:15:615,4140,8.78
2019/10/27 13:23:15:635,4160,8.55
2019/10/27 13:23:15:655,4180,8.31
2019/10/27 13:23:15:675,4200,8.07
2019/10/27 13:23:15:695,4220,7.83
2019/10/27 13:23:15:715,4240,7.58
2019/10/27 13:23:15:735,4260,7.34
2019/10/27 13:23:15:755,4280,7.13
2019/10/27 13:23:15:775,4300,6.96
2019/10/27 13:23:15:795,4320,6.82
2019/10/27 13:23:15:815,4340,6.73
2019/10/27 13:23:15:835,4360,6.7
2019/10/27 13:23:15:855,4380,6.69
2019/10/27 13:23:15:875,4400,6.73
2019/10/27 13:23:15:895,4420,6.75
2019/10/27 13:23:15:915,4440,6.81
2019/10/27 13:23:15:935,4460,6.85
2019/10/27 13:23:15:955,4480,6.87
2019/10/27 13:23:15:975,4500,6.87
2019/10/27 13:23:15:995,4520,6.86
2019/10/27 13:23:16:015,4540,6.84
2019/10/27 13:23:16:035,4560,6.79
2019/10/27 13:23:16:055,4580,6.75
2019/10/27 13:23:16:075,4600,6.72
2019/10/27 13:23:16:095,4620,6.67
2019/10/27 13:23:16:115,4640,6.63
2019/10/27 13:23:16:135,4660,6.59
2019/10/27 13:23:16:155,4680,6.56
2019/10/27 13:23:16:175,4700,6.51
2019/10/27 13:23:16:195,4720,6.47
2019/10/27 13:23:16:215,4740,6.41
2019/10/27 13:23:16:235,4760,6.36
2019/10/27 13:23:16:255,4780,6.37
2019/10/27 13:23:16:275,4800,6.45
2019/10/27 13:23:16:295,4820,6.59
2019/10/27 13:23:16:315,4840,6.8
2019/10/27 13:23:16:335,4860,7.06
2019/10/27 13:23:16:355,4880,7.38
2019/10/27 13:23:16:375,4900,7.71
2019/10/27 13:23:16:395,4920,8.09
2019/10/27 13:23:16:415,4940,8.45
2019/10/27 13:23:16:435,4960,8.78
2019/10/27 13:23:16:455,4980,9.04
2019/10/27 13:23:16:475,5000,9.25
2019/10/27 13:23:16:495,5020,9.37
2019/10/27 13:23:16:515,5040,9.43
2019/10/27 13:23:16:535,5060,9.39
2019/10/27 13:23:16:555,5080,9.29
2019/10/27 13:23:16:575,5100,9.11
2019/10/27 13:23:16:595,5120,8.86
2019/10/27 13:23:16:615,5140,8.57
2019/10/27 13:23:16:635,5160,8.26
2019/10/27 13:23:16:655,5180,7.95
2019/10/27 13:23:16:675,5200,7.66
2019/10/27 13:23:16:695,5220,7.4
2019/10/27 13:23:16:715,5240,7.22
2019/10/27 13:23:16:735,5260,7.12
2019/10/27 13:23:16:755,5280,7.03
2019/10/27 13:23:16:775,5300,6.96
2019/10/27 13:23:16:795,5320,6.9
2019/10/27 13:23:16:815,5340,6.86
2019/10/27 13:23:16:835,5360,6.81
2019/10/27 13:23:16:855,5380,6.77
2019/10/27 13:23:16:875,5400,6.72
2019/10/27 13:23:16:895,5420,6.66
2019/10/27 13:23:16:915,5440,6.61
2019/10/27 13:23:16:935,5460,6.58
2019/10/27 13:23:16:955,5480,6.58
2019/10/27 13:23:16:975,5500,6.6
2019/10/27 13:23:16:995,5520,6.63
2019/10/27 13:23:17:015,5540,6.66
2019/10/27 13:23:17:035,5560,6.7
2019/10/27 13:23:17:055,5580,6.72
2019/10/27 13:23:17:075,5600,6.75
2019/10/27 13:23:17:095,5620,6.77
2019/10/27 13:23:17:115,5640,6.79
2019/10/27 13:23:17:135,5660,6.79
2019/10/27 13:23:17:155,5680,6.79
2019/10/27 13:23:17:175,5700,6.78
2019/10/27 13:23:17:195,5720,6.78
2019/10/27 13:23:17:215,5740,6.76
2019/10/27 13:23:17:235,5760,6.71
2019/10/27 13:23:17:255,5780,6.67
2019/10/27 13:23:17:275,5800,6.65
2019/10/27 13:23:17:295,5820,6.61
2019/10/27 13:23:17:315,5840,6.56
2019/10/27 13:23:17:335,5860,6.53
2019/10/27 13:23:17:355,5880,6.49
2019/10/27 13:23:17:375,5900,6.48
2019/10/27 13:23:17:395,5920,6.5
2019/10/27 13:23:17:415,5940,6.52
2019/10/27 13:23:17:435,5960,6.53
2019/10/27 13:23:17:455,5980,6.52
2019/10/27 13:23:17:475,6000,6.51
2019/10/27 13:23:17:495,6020,6.45
2019/10/27 13:23:17:515,6040,6.61
2019/10/27 13:23:17:535,6060,6.88
2019/10/27 13:23:17:555,6080,7.26
2019/10/27 13:23:17:575,6100,7.73
2019/10/27 13:23:17:595,6120,8.24
2019/10/27 13:23:17:615,6140,8.86
2019/10/27 13:23:17:635,6160,9.53
2019/10/27 13:23:17:655,6180,10.22
2019/10/27 13:23:17:675,6200,10.86
2019/10/27 13:23:17:695,6220,11.4
2019/10/27 13:23:17:715,6240,11.81
2019/10/27 13:23:17:735,6260,12.06
2019/10/27 13:23:17:755,6280,12.09
2019/10/27 13:23:17:775,6300,12.01
2019/10/27 13:23:17:795,6320,11.65
2019/10/27 13:23:17:815,6340,11.58
2019/10/27 13:23:17:835,6360,11.58
2019/10/27 13:23:17:855,6380,11.71
2019/10/27 13:23:17:875,6400,11.97
2019/10/27 13:23:17:895,6420,12.35
2019/10/27 13:23:17:915,6440,12.84
2019/10/27 13:23:17:935,6460,13.4
2019/10/27 13:23:17:955,6480,14.02
2019/10/27 13:23:17:975,6500,14.64
2019/10/27 13:23:17:995,6520,15.29
2019/10/27 13:23:18:015,6540,15.67
2019/10/27 13:23:18:035,6560,15.81
2019/10/27 13:23:18:055,6580,15.67
2019/10/27 13:23:18:075,6600,15.24
2019/10/27 13:23:18:095,6620,14.64
2019/10/27 13:23:18:115,6640,13.8
2019/10/27 13:23:18:135,6660,12.77
2019/10/27 13:23:18:155,6680,11.6
2019/10/27 13:23:18:175,6700,10.45
2019/10/27 13:23:18:195,6720,9.38
2019/10/27 13:23:18:215,6740,8.42
2019/10/27 13:23:18:235,6760,7.62
2019/10/27 13:23:18:255,6780,7.17
2019/10/27 13:23:18:275,6800,6.95
2019/10/27 13:23:18:295,6820,7.27
2019/10/27 13:23:18:315,6840,7.57
2019/10/27 13:23:18:335,6860,7.98
2019/10/27 13:23:18:355,6880,8.49
2019/10/27 13:23:18:375,6900,9.13
2019/10/27 13:23:18:395,6920,9.81
2019/10/27 13:23:18:415,6940,10.47
2019/10/27 13:23:18:435,6960,11.11
2019/10/27 13:23:18:455,6980,11.74
2019/10/27 13:23:18:475,7000,12.3
2019/10/27 13:23:18:495,7020,12.77
2019/10/27 13:23:18:515,7040,13.08
2019/10/27 13:23:18:535,7060,13.31
2019/10/27 13:23:18:555,7080,13.42
2019/10/27 13:23:18:575,7100,13.47
2019/10/27 13:23:18:595,7120,13.37
2019/10/27 13:23:18:615,7140,13.13
2019/10/27 13:23:18:635,7160,12.81
2019/10/27 13:23:18:655,7180,12.53
2019/10/27 13:23:18:675,7200,12.27
2019/10/27 13:23:18:695,7220,12.09
2019/10/27 13:23:18:715,7240,11.97
2019/10/27 13:23:18:735,7260,11.97
2019/10/27 13:23:18:755,7280,12
2019/10/27 13:23:18:775,7300,12.07
2019/10/27 13:23:18:795,7320,12.15
2019/10/27 13:23:18:815,7340,12.21
2019/10/27 13:23:18:835,7360,12.21
2019/10/27 13:23:18:855,7380,12.3
2019/10/27 13:23:18:875,7400,12.24
2019/10/27 13:23:18:895,7420,12.13
2019/10/27 13:23:18:915,7440,12.02
2019/10/27 13:23:18:935,7460,11.88
2019/10/27 13:23:18:955,7480,11.86
2019/10/27 13:23:18:975,7500,11.98
2019/10/27 13:23:18:995,7520,12.2
2019/10/27 13:23:19:015,7540,12.62
2019/10/27 13:23:19:035,7560,13.11
2019/10/27 13:23:19:055,7580,13.67
2019/10/27 13:23:19:075,7600,14.25
2019/10/27 13:23:19:095,7620,14.79
2019/10/27 13:23:19:115,7640,15.37
2019/10/27 13:23:19:135,7660,15.89
2019/10/27 13:23:19:155,7680,16.26
2019/10/27 13:23:19:175,7700,16.47
2019/10/27 13:23:19:195,7720,16.41
2019/10/27 13:23:19:215,7740,16.13
2019/10/27 13:23:19:235,7760,15.64
2019/10/27 13:23:19:255,7780,15
2019/10/27 13:23:19:275,7800,14.24
2019/10/27 13:23:19:295,7820,13.41
2019/10/27 13:23:19:315,7840,12.57
2019/10/27 13:23:19:335,7860,11.85
2019/10/27 13:23:19:355,7880,11.09
2019/10/27 13:23:19:375,7900,10.41
2019/10/27 13:23:19:395,7920,9.83
2019/10/27 13:23:19:415,7940,9.45
2019/10/27 13:23:19:435,7960,9.28
2019/10/27 13:23:19:455,7980,9.24
2019/10/27 13:23:19:475,8000,9.38
2019/10/27 13:23:19:495,8020,9.7
2019/10/27 13:23:19:515,8040,10.14
2019/10/27 13:23:19:535,8060,10.64
2019/10/27 13:23:19:555,8080,11.19
2019/10/27 13:23:19:575,8100,11.72
2019/10/27 13:23:19:595,8120,12.26
2019/10/27 13:23:19:615,8140,12.69
2019/10/27 13:23:19:635,8160,13.06
2019/10/27 13:23:19:655,8180,13.5
2019/10/27 13:23:19:675,8200,13.65
2019/10/27 13:23:19:695,8220,13.94
2019/10/27 13:23:19:715,8240,14.44
2019/10/27 13:23:19:735,8260,14.97
2019/10/27 13:23:19:755,8280,15.6
2019/10/27 13:23:19:775,8300,16.27
2019/10/27 13:23:19:795,8320,16.95
2019/10/27 13:23:19:815,8340,17.58
2019/10/27 13:23:19:835,8360,18.12
2019/10/27 13:23:19:855,8380,18.48
2019/10/27 13:23:19:875,8400,18.86
2019/10/27 13:23:19:895,8420,19.21
2019/10/27 13:23:19:915,8440,19.4
2019/10/27 13:23:19:935,8460,19.42
2019/10/27 13:23:19:955,8480,19.3
2019/10/27 13:23:19:975,8500,19
2019/10/27 13:23:19:995,8520,18.65
2019/10/27 13:23:20:015,8540,18.17
2019/10/27 13:23:20:035,8560,17.62
2019/10/27 13:23:20:055,8580,17.03
2019/10/27 13:23:20:075,8600,16.48
2019/10/27 13:23:20:095,8620,15.97
2019/10/27 13:23:20:115,8640,15.5
2019/10/27 13:23:20:135,8660,15.03
2019/10/27 13:23:20:155,8680,14.52
2019/10/27 13:23:20:175,8700,14.44
2019/10/27 13:23:20:195,8720,14.46
2019/10/27 13:23:20:215,8740,14.39
2019/10/27 13:23:20:235,8760,14.33
2019/10/27 13:23:20:255,8780,14.38
2019/10/27 13:23:20:275,8800,14.74
2019/10/27 13:23:20:295,8820,15.27
2019/10/27 13:23:20:315,8840,16.12
2019/10/27 13:23:20:335,8860,17.07
2019/10/27 13:23:20:355,8880,18.47
2019/10/27 13:23:20:375,8900,20.39
2019/10/27 13:23:20:395,8920,22.73
2019/10/27 13:23:20:415,8940,25.4
2019/10/27 13:23:20:435,8960,28.53
2019/10/27 13:23:20:455,8980,31.88
2019/10/27 13:23:20:475,9000,35.09
2019/10/27 13:23:20:495,9020,37.91
2019/10/27 13:23:20:515,9040,40.56
2019/10/27 13:23:20:535,9060,42.81
2019/10/27 13:23:20:555,9080,44.48
2019/10/27 13:23:20:575,9100,45.5
2019/10/27 13:23:20:595,9120,45.84
2019/10/27 13:23:20:615,9140,45.45
2019/10/27 13:23:20:635,9160,44.45
2019/10/27 13:23:20:655,9180,42.83
2019/10/27 13:23:20:675,9200,40.58
2019/10/27 13:23:20:695,9220,37.87
2019/10/27 13:23:20:715,9240,34.85
2019/10/27 13:23:20:735,9260,31.83
2019/10/27 13:23:20:755,9280,28.91
2019/10/27 13:23:20:775,9300,26.29
2019/10/27 13:23:20:795,9320,24.33
2019/10/27 13:23:20:815,9340,22.78
2019/10/27 13:23:20:835,9360,22.17
